title,users,sessions,topic,
George W. Bush,7391,32314,Leader,
United States,4706,21760,Country,
Barack Obama,4155,17453,Leader,
Adolf Hitler,4052,15037,Leader,
Michael Jackson,3617,19304,Music,
Jesus,3506,17082,Religion,
Britney Spears,3420,14874,Music,
PlayStation 3,3292,13222,Games,
World War II,3224,14622,Historic Event,
Wii,3078,14620,Games,
Harry Potter,2855,8374,Movie,
The Beatles,2748,12264,Music,
Xbox 360,2684,9585,Games,
Harry Potter and the Deathly Hallows,2674,9523,Movie,
RuneScape,2626,12090,Games,
Eminem,2618,8826,Music,
United Kingdom,2582,11804,Country,
Cat,2576,7929,Animal,
September 11 attacks,2551,11086,Historic Event,
Bill Clinton,2543,8928,Leader,
IPod,2538,8244,Tech,
Albert Einstein,2492,9003,Science,
Saddam Hussein,2486,8205,Leader,
"United States presidential election, 2008",2457,10446,Historic Event,
World War I,2444,8267,Historic Event,
Bill Gates,2400,7204,Tech,
The Simpsons,2399,7274,TV Show,
Paris Hilton,2394,7789,Entertainer,
India,2391,12203,Country,
Ronald Reagan,2388,10110,Leader,
Osama bin Laden,2359,7290,Leader,
London,2353,9224,City,
Global warming,2347,14074,Science,
Cannabis (drug),2342,8092,Other,
Canada,2328,10758,Country,
South Park,2328,6149,TV Show,
New York City,2315,10164,City,
50 Cent,2289,8090,Music,
Family Guy,2289,6076,TV Show,
Google,2286,5812,Tech,
George Washington,2285,7228,Leader,
Tony Blair,2270,7385,Leader,
Star Wars,2263,7075,Movie,
Muhammad,2258,13050,Religion,
God,2252,7187,Religion,
Scientology,2234,10092,Religion,
Israel,2216,10156,Country,
Christianity,2201,11609,Religion,
Japan,2192,9379,Country,
Islam,2185,11793,Religion,